TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime,Group,SomeIndex
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel_no_affinity,10_no_affinity,2.0339,0,0
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel,10_affinity_DomainMode_16EQS_Middle,2.0139,0,1
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel_no_affinity,50_no_affinity,8.7647,1,0
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel,50_affinity_DomainMode_16EQS_Middle,8.5699,1,1
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel_no_affinity,100_no_affinity,17.9299,2,0
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel,100_affinity_DomainMode_16EQS_Middle,18.2018,2,1
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel_no_affinity,250_no_affinity,46.6789,3,0
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel,250_affinity_DomainMode_16EQS_Middle,45.6505,3,1
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel_no_affinity,500_no_affinity,93.0341,4,0
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel,500_affinity_DomainMode_16EQS_Middle,92.4965,4,1
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel_no_affinity,750_no_affinity,139.7046,5,0
3,8,2,1,16,16,0,0,2,1,47,chameleon/intel,750_affinity_DomainMode_16EQS_Middle,138.7827,5,1
