Variation           ,PhaseTime ,R0_TotalEffectiveThroughput ,R0_TaskMigrationRate ,R0_TaskProcessingRate ,R0_NumExecutedTasksOverall ,R0_NumMigrationDecisionsPerformed ,R0_NumMigrationsDone ,R0_NumTasksOffloaded ,R0_TimeTaskwaitSum ,R0_TimeTaskwaitIdlingSum ,R1_TaskProcessingRate ,R1_NumExecutedTasksOverall ,R1_TimeTaskwaitSum ,R1_TimeTaskwaitIdlingSum ,Group ,SomeIndex
50_no_affinity      ,8.9490    ,30.968                      ,17.409906            ,458409.545277         ,58735                      ,899667                            ,80                   ,80                   ,301.1002964973     ,77.7231333256            ,458779.774059         ,58765                      ,301.0109813213     ,81.9658768177            ,0     ,0
50_affinity_default ,190.4103  ,5.614                       ,0.769697             ,16061.736855          ,59174                      ,132800656                         ,80                   ,80                   ,8657.7747635841    ,8486.2410621643          ,15861.847113          ,58326                      ,8641.2445552349    ,8475.8537738323          ,0     ,1
