TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime,Group,SomeIndex
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel_no_affinity,10-Steps_16-Threads_no_affinity,3.6006,0,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_default,8.9514,0,1
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,3.2382,0,2
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,3.2044,0,3
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_NONE_MiddlePage,3.1931,0,4
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,10-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,3.1352,0,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,50-Steps_16-Threads_no_affinity,14.9291,1,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_default,60.1095,1,1
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,15.0661,1,2
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,15.4399,1,3
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NONE_MiddlePage,16.0239,1,4
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,50-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,14.8452,1,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,100-Steps_16-Threads_no_affinity,29.9474,2,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_default,89.9823,2,1
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,30.5737,2,2
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,30.0542,2,3
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_NONE_MiddlePage,29.3899,2,4
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,100-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,28.8616,2,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,250-Steps_16-Threads_no_affinity,72.1271,3,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_default,175.8081,3,1
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,73.0493,3,2
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,71.5624,3,3
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_NONE_MiddlePage,72.0133,3,4
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,250-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,72.4646,3,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,500-Steps_16-Threads_no_affinity,143.9674,4,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_default,307.4349,4,1
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,144.5947,4,2
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,143.5032,4,3
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_NONE_MiddlePage,143.9465,4,4
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,500-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,144.8828,4,5
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel_no_affinity,1000-Steps_16-Threads_no_affinity,286.0950,5,0
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_default,562.2384,5,1
3,8,2,0,16,16,3,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,291.5119,5,2
3,8,2,0,16,16,0,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_DomainMode_16EQS_Middle,286.7003,5,3
0,8,2,0,16,16,0,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_NONE_MiddlePage,286.9952,5,4
0,0,0,0,16,16,0,0,2,1,16,chameleon/intel,1000-Steps_16-Threads_affinity_NONE_FirstOfFirstPage,286.2599,5,5
