TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime
3,8,2,1,16,16,3,0,2,1,16,chameleon/intel,affinity_16EQS_Middle_Con-All_No-AlChPh,126.8421
0,8,2,1,16,16,0,0,2,1,16,chameleon/intel,affinity_NONE_DomainMode_Middle,43.0132
1,2,2,0,16,3,3,1,2,1,16,chameleon/intel,affinity_ConsiderAll,124.4339
3,8,2,1,16,16,0,0,2,1,16,chameleon/intel,affinity_DomainMode_16EQS_Middle,121.3188
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel_no_affinity,no_affinity,43.3312
1,2,2,1,16,3,3,1,2,1,16,chameleon/intel,affinity_default,128.9980
