TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime,Group,SomeIndex
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel_no_affinity,10-Steps_47-Threads_no_affinity,2.0281,0,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_default,36.4853,0,1
1,2,2,1,16,3,3,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_NoAlwaysCheckPhysical,15.5234,0,2
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,3.2059,0,3
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,2.4141,0,4
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_NONE_MiddlePage,2.1367,0,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,1.9758,0,6
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,50-Steps_47-Threads_no_affinity,8.9366,1,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_default,191.2792,1,1
1,2,2,1,16,3,3,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NoAlwaysCheckPhysical,96.6922,1,2
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,15.0924,1,3
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,11.0608,1,4
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NONE_MiddlePage,8.8919,1,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,8.8002,1,6
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,100-Steps_47-Threads_no_affinity,17.7873,2,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_default,329.1078,2,1
1,2,2,1,16,3,3,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_NoAlwaysCheckPhysical,191.3880,2,2
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,31.0387,2,3
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,22.0407,2,4
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_NONE_MiddlePage,17.8068,2,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,18.1350,2,6
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,250-Steps_47-Threads_no_affinity,45.5130,3,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_default,729.9968,3,1
1,2,2,1,16,3,3,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_NoAlwaysCheckPhysical,477.1874,3,2
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,72.0083,3,3
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,52.9943,3,4
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_NONE_MiddlePage,46.0475,3,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,46.2013,3,6
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,500-Steps_47-Threads_no_affinity,91.8664,4,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_default,1475.4517,4,1
1,2,2,1,16,3,3,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_NoAlwaysCheckPhysical,952.8455,4,2
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,151.8206,4,3
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,106.9869,4,4
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_NONE_MiddlePage,92.3688,4,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,92.5896,4,6
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,1000-Steps_47-Threads_no_affinity,184.9874,5,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_default,2544.7633,5,1
1,2,2,1,16,3,3,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_NoAlwaysCheckPhysical,2054.0214,5,2
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,280.2861,5,3
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,210.7369,5,4
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_NONE_MiddlePage,185.1797,5,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,183.3487,5,6
