TaskSelectionStrat,PageSelectionStrat,PageWeightStrat,ConsiderTypes,PageN,TaskN,MapMode,CheckPhysical,SlurmNodes,SlurmTasksPerNode,OmpNumThreads,ChameleonVersion,Variation,PhaseTime,Group,SomeIndex
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel_no_affinity,10-Steps_47-Threads_no_affinity,2.0017,0,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_default,39.1596,0,1
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,3.3915,0,2
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,2.4382,0,3
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_NONE_MiddlePage,2.0971,0,4
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,10-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,2.0386,0,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,50-Steps_47-Threads_no_affinity,8.6654,1,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_default,192.0822,1,1
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,15.5665,1,2
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,10.8520,1,3
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NONE_MiddlePage,8.7333,1,4
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,50-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,8.8648,1,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,100-Steps_47-Threads_no_affinity,18.2212,2,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_default,337.5637,2,1
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,31.6436,2,2
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,21.7172,2,3
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_NONE_MiddlePage,18.2620,2,4
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,100-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,18.4385,2,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,250-Steps_47-Threads_no_affinity,45.3766,3,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_default,726.9322,3,1
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,70.2846,3,2
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,54.1379,3,3
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_NONE_MiddlePage,46.1213,3,4
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,250-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,46.5354,3,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,500-Steps_47-Threads_no_affinity,92.8581,4,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_default,1426.8952,4,1
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,142.1979,4,2
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,101.9287,4,3
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_NONE_MiddlePage,94.1268,4,4
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,500-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,92.8612,4,5
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel_no_affinity,1000-Steps_47-Threads_no_affinity,186.1952,5,0
1,2,2,1,16,3,3,1,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_default,2699.5834,5,1
3,8,2,0,16,16,3,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_16EQS_Middle_Con-All_No-AlChPh,289.4611,5,2
3,8,2,0,16,16,0,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_DomainMode_16EQS_Middle,203.2504,5,3
0,8,2,0,16,16,0,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_NONE_MiddlePage,185.8948,5,4
0,0,0,0,16,16,0,0,2,1,47,chameleon/intel,1000-Steps_47-Threads_affinity_NONE_FirstOfFirstPage,184.6579,5,5
